,class_name,class_id,pressure,speed
714,GrayLinen,1,7.0,0.03
715,BlackPolymer,7,9.0,0.04
716,BeigeCotton,4,15.0,0.05
717,BeigeCotton,4,6.0,0.05
718,BeigeCotton,4,18.0,0.01
719,BlackPolymer,7,14.0,0.03
720,BeigeCotton,4,7.0,0.03
721,BlackCotton,6,8.0,0.07
722,BrownPolymer,3,5.0,0.04
723,GreenVelvet,5,12.0,0.09
724,BeigeCotton,4,9.0,0.01
725,BlackPolymer,7,17.0,0.09
726,BlackPolymer,7,17.0,0.1
727,GreenVelvet,5,6.0,0.07
728,BeigeCotton,4,9.0,0.08
729,BeigeCotton,4,17.0,0.02
730,BlackPolymer,7,18.0,0.09
731,GrayLinen,1,9.0,0.05
732,BeigeCotton,4,16.0,0.06
733,GrayLinen,1,14.0,0.02
734,GrayLinen,1,13.0,0.04
735,BlackPolymer,7,7.0,0.08
736,BeigeCotton,4,14.0,0.02
737,BlackCotton,6,5.0,0.03
738,NavyDenim,2,6.0,0.02
739,GreenVelvet,5,17.0,0.08
740,BlackPolymer,7,16.0,0.1
741,NavyDenim,2,5.0,0.09
742,GrayLinen,1,9.0,0.07
743,NavyDenim,2,6.0,0.05
744,BeigeCotton,4,18.0,0.1
745,BlackPolymer,7,17.0,0.05
746,NavyDenim,2,7.0,0.03
747,BlackCotton,6,5.0,0.1
748,BlackCotton,6,14.0,0.06
749,BlackCotton,6,11.0,0.09
750,BlackCotton,6,10.0,0.09
751,BlackPolymer,7,6.0,0.02
752,BlackCotton,6,10.0,0.02
753,GreenVelvet,5,8.0,0.04
754,BlackCotton,6,13.0,0.07
755,BlackCotton,6,13.0,0.04
756,GreenVelvet,5,13.0,0.04
757,BlackCotton,6,5.0,0.01
758,BeigeCotton,4,6.0,0.06
759,GreenVelvet,5,5.0,0.06
760,GrayLinen,1,8.0,0.04
761,BlackCotton,6,8.0,0.06
762,NavyDenim,2,11.0,0.08
763,BlackPolymer,7,14.0,0.06
764,BlackPolymer,7,8.0,0.09
765,BlackCotton,6,6.0,0.02
766,GreenVelvet,5,7.0,0.06
767,BlackCotton,6,8.0,0.03
768,NavyDenim,2,11.0,0.02
769,NavyDenim,2,14.0,0.03
770,GreenVelvet,5,12.0,0.08
771,GrayLinen,1,8.0,0.1
772,NavyDenim,2,12.0,0.09
773,BeigeCotton,4,16.0,0.08
774,BrownPolymer,3,7.0,0.05
775,NavyDenim,2,7.0,0.08
776,GrayLinen,1,13.0,0.01
777,BlackPolymer,7,15.0,0.03
778,NavyDenim,2,17.0,0.04
779,BlackPolymer,7,16.0,0.08
780,BlackPolymer,7,8.0,0.08
781,GreenVelvet,5,16.0,0.08
782,NavyDenim,2,12.0,0.05
783,GreenVelvet,5,12.0,0.01
784,GreenVelvet,5,14.0,0.06
785,BlackPolymer,7,6.0,0.07
786,BeigeCotton,4,6.0,0.1
787,GreenVelvet,5,7.0,0.05
788,NavyDenim,2,7.0,0.04
789,GrayLinen,1,15.0,0.08
790,BrownPolymer,3,8.0,0.09
791,BlackPolymer,7,13.0,0.07
792,NavyDenim,2,14.0,0.02
793,GreenVelvet,5,6.0,0.03
794,GreenVelvet,5,17.0,0.1
795,NavyDenim,2,17.0,0.05
796,NavyDenim,2,11.0,0.09
797,BlackPolymer,7,17.0,0.03
798,BlackCotton,6,13.0,0.08
799,BlackPolymer,7,6.0,0.06
